binary_name,aes_max_score,des_max_score,rsa_max_score
aadauthhelper,1.000000,0.000000,0.000000
aadcloudap,1.000000,0.748337,0.732656
aadjcsp,1.000000,0.000000,0.000000
aadtb,1.000000,0.000000,0.555476
aadWamExtension,1.000000,0.000000,0.000000
AboutSettingsHandlers,1.000000,0.000000,0.000000
AboveLockAppHost,1.000000,0.000000,0.969994
accessibilitycpl,1.000000,0.000000,0.000000
accountaccessor,1.000000,0.729774,0.000000
AccountsRt,1.000000,0.000000,0.552899
AcGenral,1.000000,0.999702,0.000000
AcLayers,1.000000,0.000000,0.000000
acledit,1.000000,0.000000,0.000000
aclui,1.000000,0.000000,0.930230
acmigration,1.000000,0.696573,0.573915
ACPBackgroundManagerPolicy,1.000000,0.000000,0.000000
acppage,1.000000,0.000000,0.000000
acproxy,1.000000,0.000000,0.000000
AcSignExt,1.000000,0.000000,0.000000
AcSignIcon,1.000000,0.000000,0.000000
AcSignOpt,1.000000,0.000000,0.000000
AcSpecfc,1.000000,0.000000,0.000000
ActionCenterCPL,1.000000,0.000000,0.000000
ActionCenter,1.000000,0.000000,0.000000
ActionQueue,1.000000,0.000000,0.000000
ActivationClient,1.000000,0.000000,0.000000
ActivationManager,1.000000,0.000000,0.969549
ActivationVdev,1.000000,0.000000,0.000000
activeds,1.000000,0.000000,0.000000
ActiveSyncCsp,1.000000,0.000000,0.763245
ActiveSyncProvider,1.000000,0.502481,0.826949
actxprxy,1.000000,0.000000,0.000000
AcWinRT,1.000000,0.000000,0.000000
AcXtrnal,1.000000,0.000000,0.000000
AdaptiveCards,1.000000,0.000000,0.988628
AddressParser,1.000000,0.000000,0.000000
adhapi,1.000000,0.000000,0.000000
adhsvc,1.000000,0.000000,0.000000
AdmTmpl,1.000000,0.000000,0.999368
adprovider,1.000000,0.000000,0.000000
adrclient,1.000000,0.000000,0.746810
adsldpc,1.000000,0.000000,0.735819
adsldp,1.000000,0.000000,0.999991
adsmsext,1.000000,0.000000,0.000000
adsnt,1.000000,0.750159,0.982006
AdvancedEmojiDS,1.000000,0.721678,0.000000
advapi32,1.000000,0.000000,0.967296
advpack,1.000000,0.000000,0.802762
aeinv,1.000000,0.368492,0.996998
aepic,1.000000,0.000000,0.967337
AgentService,1.000000,0.000000,0.997587
aitstatic,1.000000,0.000000,0.650052
AJRouter,1.000000,0.000000,0.000000
alg,1.000000,0.000000,0.000000
AllJoynDiscoveryPlugin,1.000000,0.000000,0.000000
altspace,1.000000,0.000000,0.000000
amsiproxy,1.000000,0.000000,0.000000
amsi,1.000000,0.000000,0.000000
amstream,1.000000,0.000000,0.000000
Analog.Shell.Broker,1.000000,0.000000,0.000000
AnalogCommonProxyStub,1.000000,0.000000,0.000000
apds,1.000000,0.000000,0.999066
APHostClient,1.000000,0.000000,0.000000
APHostService,1.000000,0.000000,0.941661
ApiSetHost.AppExecutionAlias,1.000000,0.000000,0.000000
AppContracts,1.000000,0.000000,0.820545
AppExtension,1.000000,0.508548,0.000000
apphelp,1.000000,0.935361,0.721343
Apphlpdm,1.000000,0.000000,0.000000
AppHostRegistrationVerifier,1.000000,0.807380,0.587491
appidapi,1.000000,0.000000,0.000000
appidcertstorecheck,1.000000,0.000000,0.000000
appidpolicyconverter,1.000000,0.000000,0.000000
AppIdPolicyEngineApi,1.000000,0.803529,0.000000
appidsvc,1.000000,0.000000,0.000000
appidtel,1.000000,0.000000,0.000000
appinfoext,1.000000,0.000000,0.000000
appinfo,1.000000,0.000000,0.964105
ApplicationFrameHost,1.000000,0.000000,0.000000
ApplicationFrame,1.000000,0.864524,0.000000
